Color;VehicleModel;VehicleDesc;ModelYear;VehicleType;DateStolen;Location
Silver;Trailer;VULCAN;2015;Trailer;01/11/21;Wanaka
Grey;Trailer;HOME MADE;2016;Trailer;01/03/22;Wellington
White;Anglo;CARAVAN;1976;Caravan;01/12/21;Wanaka
Silver;Reid;TRAILER;2015;Trailer - Heavy;11/10/21;Wanaka
Silver;Lochiel;DOMESTIC TRAILER;2015;Trailer;03/04/22;South Invercargill
Silver;Briford;TRAILER 8X4;2008;Trailer;10/02/22;Wanaka
Blue;Trailer;SLOAN;1985;Trailer - Heavy;22/02/22;Wakatipu L.
Silver;Titan;7X4;2015;Trailer;23/12/21;Manukau
Grey;Trailer;HOMEBUILT;2002;Trailer;31/01/22;Canterbury Bight
Silver;Trailer;DOMESTIC;2016;Trailer;22/11/21;Northland
Black;Trailer;JETSKI;2000;Boat Trailer;25/12/21;Wakatipu L.
Silver;Trailer;TANDEM;2016;Trailer;04/04/22;Carterton
White;Trailer;FURN;2016;Trailer - Heavy;17/01/22;Bay of Plenty
Silver;Lochiel;3X2 PLATFORM;2016;Trailer;27/02/22;South Invercargill
Silver;Trailer;HOMEBUILT;2019;Trailer;26/01/22;Carterton
Silver;Trailer;GORILLA;2019;Trailer;25/01/22;Canterbury Bight
Grey;Suzuki;UZ;2007;Roadbike;18/12/21;Auckland
Grey;Homebuilt;TRAILER;1990;Trailer;10/02/22;Canterbury Bight
Blue;Classic;DIPLOMAT;1979;Caravan;28/01/22;Carterton
Silver;Trailer;LOCAL;1976;Trailer - Heavy;22/01/22;Carterton
Red;Homebuilt;TRAILER;1987;Trailer;05/03/22;South Invercargill
Silver;Titan;DOMESTIC TRAILER;2019;Trailer;03/03/22;Wanaka
Silver;Trailer;HOMEMADE;2019;Trailer;06/12/21;Carterton
Blue;Piaggio;MOTORCYCLE;1998;Moped;06/11/21;Auckland
Silver;Suzuki;GSX250;2003;Roadbike;30/12/21;Bay of Plenty
Black;Suzuki;VL800;2009;Roadbike;31/03/22;Wanaka
Grey;Trailer;DOMESTIC TRAILER;2002;Trailer;29/12/21;Manukau
Black;BMW;335i;2009;;22/02/22;Wanaka
Silver;Briford;8X5 TANDEM;2019;Trailer;09/01/22;Canterbury Bight
Silver;Trailer;KEA;2016;Trailer;14/10/21;Auckland
Silver;Trailer;TANDEM;2019;Trailer;16/02/22;Canterbury Bight
Black;Suzuki;VL800;2007;Roadbike;17/01/22;Wanaka
Silver;Homebuilt;O'LEARY 1 AXLE;1977;Trailer;02/03/22;Carterton
Silver;Trailer;DOMESTIC TRAILER;2001;Trailer;13/01/22;Carterton
Silver;Trailer;HOMEBUILT;2019;Boat Trailer;15/12/21;Auckland
Silver;Trailer;BOAT;2019;Boat Trailer;31/01/22;Northland
Black;Trailer;HOMEBUILT;2019;Trailer;17/11/21;Carterton
Silver;Buffalo;8X5 TANDEM TRAILER;2019;Trailer;18/10/21;Canterbury Bight
Silver;Trailer;BOAT;2019;Boat Trailer;04/03/22;Wanaka
Silver;Trailer;M J SINGLE AXLE;2019;Trailer;24/01/22;Canterbury Bight
Black;Homebuilt;DOMESTIC TRAILER;2019;Trailer;06/01/22;Manukau
White;Trailer;HOMEBUILT;1940;Trailer;26/11/21;South Invercargill
Silver;Factory Built;DOMESTIC TRAILER;2019;Trailer;21/03/22;Wellington
Silver;Trailer;ROADCHIEF;2019;Trailer - Heavy;24/10/21;Bay of Plenty
Silver;Trailer;K64SE;1997;Trailer;04/11/21;Tasman B.
Silver;Trailer;O'LEARY;1997;Trailer;04/04/22;Carterton
Silver;Trailer;LOCAL;2001;Boat Trailer;15/03/22;Northland
Silver;Trailer;CONCEPT;2017;Trailer;28/10/21;Carterton
Silver;Titan;DOMESTIC TRAILER;2019;Trailer;25/03/22;Wellington
Silver;Homebuilt;BOAT TRAILER;2019;Boat Trailer;29/10/21;Manukau
Grey;Yamaha;YZF-R6T;2005;Roadbike;17/02/22;Wanaka
Silver;Factory Built;TRAILUX TRAILER;2019;Trailer;31/03/22;Wellington
Silver;Trailer;ELITE 8X4;2016;Trailer;04/02/22;Canterbury Bight
Silver;Trailer;UTILITY;2016;Trailer;22/03/22;Wanaka
Silver;Trailer;GT TRAILER;2016;Trailer - Heavy;29/10/21;Canterbury Bight
White;Veteran;710;2016;Caravan;28/03/22;Wakatipu L.
Silver;Titan;8X5 SINGLE;2016;Trailer;23/03/22;Wanaka
Silver;Homebuilt;HOME BUILD;2016;Trailer;07/12/21;Canterbury Bight
Blue;Homebuilt;TRAILER;2004;Trailer;20/03/22;Canterbury Bight
Silver;Trailer;COMPASS C85;2016;Trailer;11/12/21;Wakatipu L.
Silver;Briford;TRAILER;2016;Trailer - Heavy;07/12/21;Manukau
Silver;Briford;TRAILER;2016;Trailer;14/01/22;Canterbury Bight
Silver;Trailer;GT TRAILER;2016;Trailer - Heavy;29/10/21;Auckland
White;Homebuilt;TRAILER;1960;Trailer;01/01/22;Canterbury Bight
Grey;Trailer;MAINLINE TANKER;2013;Trailer - Heavy;08/11/21;Wanaka
Grey;Custombuilt;TBS;2016;Trailer - Heavy;12/10/21;Wanaka
Silver;Trailer;GOUGH ENGINEERING;2016;Trailer;25/03/22;Wakatipu L.
Silver;Briford;TRAILER;2016;Trailer - Heavy;08/11/21;Manukau
Silver;Trailer;COMPASS KH85T;2016;Trailer;23/02/22;Manukau
Grey;Briford;6X4;2016;Trailer;01/12/21;Auckland
Silver;Trailer;ELITE 8X4;2016;Trailer;30/01/22;Canterbury Bight
Blue;Mazda;LANTIS;1993;Saloon;14/02/22;Wakatipu L.
Silver;Trailer;TUFF;2016;Trailer;01/11/21;Wanaka
Silver;Briford;TRAILER;2016;Trailer - Heavy;15/11/21;Manukau
Silver;Briford;OTHER COMMERCIAL TRA;2016;Trailer - Heavy;08/03/22;Bay of Plenty
Silver;Briford;OTHER COMMERCIAL TRA;2016;Trailer - Heavy;17/01/22;Wakatipu L.
Silver;Trailer;AAA375 AAKRON;2016;Boat Trailer;29/01/22;Manukau
